timestamp,thermistor_v,photoresistor_v
1319.0,2.06,1.51
1319.5,2.07,1.52
1320.0,2.07,1.52
1320.5,2.07,1.5
1321.0,2.07,1.48
1321.5,2.07,1.46
1322.0,2.07,1.47
1322.5,2.07,1.48
1323.0,2.07,1.5
1323.5,2.07,1.53
1324.0,2.07,1.54
1324.5,2.07,1.54
1325.0,2.07,1.52
1325.5,2.07,1.49
1326.0,2.07,1.47
1326.5,2.07,1.47
1327.0,2.07,1.49
1327.5,2.07,1.51
1328.0,2.07,1.54
1328.5,2.07,1.54
1329.0,2.07,1.53
1329.5,2.06,1.5
1330.0,2.06,1.46
1330.5,2.06,1.46
1331.0,2.06,1.46
1331.5,2.06,1.48
1332.0,2.06,1.5
1332.5,2.06,1.52
1333.0,2.06,1.54
1333.5,2.06,1.52
1334.0,2.06,1.5
1334.5,2.06,1.48
1335.0,2.06,1.47
1335.5,2.06,1.48
1336.0,2.06,1.5
1336.5,2.06,1.52
1337.0,2.06,1.54
1337.5,2.06,1.54
1338.0,2.06,1.51
1338.5,2.06,1.49
1339.0,2.06,1.47
1339.5,2.07,1.47
1340.0,2.07,1.49
1340.5,2.06,1.51
1341.0,2.06,1.54
1341.5,2.06,1.54
1342.0,2.06,1.53
1342.5,2.06,1.51
1343.0,2.06,1.48
1343.5,2.06,1.47
1344.0,2.06,1.48
1344.5,2.06,1.5
1345.0,2.06,1.52
1345.5,2.06,1.54
1346.0,2.06,1.54
1346.5,2.06,1.52
1347.0,2.06,1.5
1347.5,2.06,1.47
1348.0,2.06,1.47
1348.5,2.06,1.48
1349.0,2.06,1.5
1349.5,2.02,1.53
1350.0,2.06,1.54
1350.5,2.06,1.53
1351.0,2.06,1.5
1351.5,2.06,1.47
1352.0,2.06,1.46
1352.5,2.06,1.47
1353.0,2.06,1.49
1353.5,2.06,1.51
1354.0,2.06,1.54
1354.5,2.06,1.54
1355.0,2.06,1.53
1355.5,2.06,1.5
1356.0,2.06,1.48
1356.5,2.06,1.47
1357.0,2.06,1.48
1357.5,2.06,1.5
1358.0,2.06,1.52
1358.5,2.06,1.54
1359.0,2.07,1.54
1359.6,2.07,1.52
1360.1,2.07,1.5
1360.6,2.07,1.48
1361.1,2.07,1.47
1361.6,2.07,1.48
1362.1,2.07,1.5
1362.6,2.06,1.53
1363.1,2.06,1.54
1363.6,2.06,1.54
1364.1,2.06,1.52
1364.6,2.06,1.5
1365.1,2.06,1.47
1365.6,2.06,1.48
1366.1,2.06,1.48
1366.6,2.06,1.5
1367.1,2.06,1.53
1367.6,2.06,1.57
1368.1,2.06,1.57
1368.6,2.06,1.57
1369.1,2.06,1.56
1369.6,2.06,1.93
1370.1,2.06,1.75
1370.6,2.07,1.55
1371.1,2.07,1.79
1371.6,2.07,1.58
1372.1,2.06,1.62
1372.6,2.06,1.58
1373.1,2.06,1.61
1373.6,2.06,1.56
1374.1,2.06,1.49
1374.6,2.06,1.48
1375.1,2.06,1.49
1375.6,2.06,1.5
1376.1,2.06,1.5
1376.6,2.06,1.52
1377.1,2.06,1.54
1377.6,2.06,1.53
1378.1,2.06,1.51
1378.6,2.06,1.48
1379.1,2.06,1.47
1379.6,2.06,1.48
1380.1,2.06,1.48
1380.6,2.06,1.5
1381.1,2.06,1.53
1381.6,2.06,1.54
1382.1,2.06,1.54
1382.6,2.06,1.52
1383.1,2.06,1.5
1383.6,2.06,1.48
1384.1,2.06,1.47
1384.6,2.06,1.48
1385.1,2.06,1.5
1385.6,2.06,1.52
1386.1,2.06,1.54
1386.6,2.06,1.54
1387.1,2.06,1.53
1387.6,2.06,1.51
1388.1,2.06,1.48
1388.6,2.06,1.47
1389.1,2.06,1.47
1389.6,2.06,1.5
1390.1,2.06,1.52
1390.6,2.06,1.54
1391.1,2.06,1.54
1391.6,2.06,1.54
1392.1,2.06,1.52
1392.6,2.06,1.5
1393.1,2.06,1.48
1393.6,2.06,1.48
1394.1,2.06,1.49
1394.6,2.06,1.5
1395.1,2.06,1.53
1395.6,2.06,1.54
1396.1,2.06,1.54
1396.6,2.06,1.53
1397.1,2.06,1.5
1397.6,2.06,1.48
1398.1,2.06,1.47
1398.6,2.06,1.48
1399.1,2.06,1.5
1399.6,2.06,1.51
1400.1,2.06,1.53
1400.6,2.06,1.54
1401.1,2.06,1.54
1401.6,2.06,1.52
1402.1,2.06,1.49
1402.6,2.06,1.48
1403.1,2.06,1.48
1403.6,2.06,1.49
1404.1,2.06,1.5
1404.6,2.06,1.53
1405.1,2.06,1.54
1405.6,2.06,1.54
1406.1,2.06,1.53
1406.6,2.06,1.51
1407.1,2.06,1.49
1407.6,2.06,1.48
1408.1,2.06,1.48
1408.6,2.06,1.49
1409.1,2.06,1.51
1409.6,2.06,1.54
1410.1,2.06,1.54
1410.6,2.06,1.54
1411.1,2.06,1.52
1411.6,2.06,1.5
1412.1,2.06,1.48
1412.6,2.06,1.48
1413.1,2.06,1.48
1413.6,2.06,1.5
1414.1,2.06,1.51
1414.6,2.06,1.54
1415.1,2.06,1.54
1415.6,2.06,1.54
1416.1,2.06,1.52
1416.6,2.06,1.5
1417.1,2.06,1.48
1417.6,2.06,1.48
1418.1,2.06,1.48
1418.6,2.06,1.5
1419.1,2.06,1.51
1419.6,2.06,1.54
1420.1,2.06,1.54
1420.6,2.06,1.54
1421.1,2.06,1.53
1421.6,2.06,1.51
1422.1,2.06,1.49
1422.6,2.06,1.48
1423.1,2.06,1.49
1423.6,2.06,1.5
1424.1,2.06,1.51
1424.6,2.06,1.54
1425.1,2.06,1.55
1425.6,2.06,1.54
1426.1,2.06,1.54
1426.6,2.06,1.51
1427.1,2.06,1.49
1427.6,2.06,1.48
1428.1,2.06,1.48
1428.6,2.06,1.49
1429.1,2.06,1.51
1429.6,2.06,1.53
1430.1,2.06,1.55
1430.6,2.06,1.54
1431.1,2.06,1.53
1431.6,2.06,1.51
1432.2,2.06,1.48
1432.7,2.06,1.48
1433.2,2.06,1.49
1433.7,2.06,1.5
1434.2,2.06,1.52
1434.7,2.06,1.54
1435.2,2.06,1.55
1435.7,2.06,1.54
1436.2,2.06,1.52
1436.7,2.06,1.49
1437.2,2.06,1.48
1437.7,2.06,1.48
1438.2,2.06,1.48
1438.7,2.06,1.5
1439.2,2.06,1.53
1439.7,2.06,1.55
1440.2,2.06,1.54
1440.7,2.06,1.53
1441.2,2.06,1.5
1441.7,2.06,1.48
1442.2,2.07,1.48
1442.7,2.07,1.49
1443.2,2.07,1.5
1443.7,2.07,1.52
1444.2,2.07,1.54
1444.7,2.07,1.54
1445.2,2.07,1.53
1445.7,2.07,1.51
1446.2,2.07,1.49
1446.7,2.07,1.48
1447.2,2.07,1.48
1447.7,2.07,1.5
1448.2,2.07,1.51
1448.7,2.07,1.54
